country,total_laid_off
United States,585944
India,65584
Germany,31488
United Kingdom,23214
Netherlands,21575
Sweden,20159
Canada,16002
Israel,13107
Brazil,11939
China,8190
Australia,7893
Singapore,7533
Indonesia,5711
Japan,4285
Nigeria,2493
Kenya,2048
France,2028
Ireland,1262
Cayman Islands,1120
New Zealand,1100
United Arab Emirates,995
Austria,910
Denmark,869
Hong Kong,730
Norway,605
Estonia,582
Spain,575
Czech Republic,566
Chile,525
Switzerland,468
Poland,453
Mexico,450
Uruguay,404
Russia,400
South Korea,395
Saudi Arabia,340
Argentina,323
Finland,320
Senegal,300
Romania,252
Myanmar,200
Cyprus,200
Portugal,181
Ghana,150
Colombia,130
Bulgaria,120
Malaysia,100
UAE,93
Seychelles,75
Lithuania,60
Thailand,55
Belgium,50
Ukraine,50
Luxembourg,45
Malta,29
